Name,Born,Died,Cause of death,Nicknames,Motive,Conviction,Criminal Penalty,Criminal Status,Victims,Span of Crimes,Country,State(s),Date Apprehended
Maury Travis,"Maury Troy TravisOctober 25, 1965St. Louis, Missouri, U.S.","June 10, 2002(2002-06-10) (aged 36)St. Louis County Jail, Clayton, Missouri, U.S.",Unknown,The Bi-State Strangler,Unknown,Unknown,Unknown,Unknown,12–17+,2000–2002,United States,Missouri,"June 7, 2002"
Dennis Nilsen,"Dennis Andrew Nilsen(1945-11-23)23 November 1945Fraserburgh, Scotland","12 May 2018(2018-05-12) (aged 72)York, England",Unknown,The Muswell Hill Murderer,Unknown,MurderAttempted murder,Unknown,Unknown,12–15,30 December 1978 – 26 January 1983,United Kingdom,Unknown,9 February 1983
Kenneth Bianchi,"Kenneth Alessio Bianchi (1951-05-22) May 22, 1951 (age 73)Rochester, New York, U.S.",Unknown,Unknown,The Hillside Strangler,Sexual sadism,Murder,Unknown,Unknown,12+,"October 16, 1977 – January 11, 1979",United States,"California, Washington","January 12, 1979; 45 years ago (1979-01-12)"
Enriqueta Martí,"Enriqueta Martí Ripollés1868Sant Feliu de Llobregat, Kingdom of Spain (Savoy)","12 May 1913(1913-05-12) (aged 44–45)Barcelona, Kingdom of Spain",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12 (confirmed and known),Unknown,Unknown,Unknown,Unknown
Abdallah al-Hubal,1955Yemen,"August 16, 1998(1998-08-16) (aged 42–43)Bayt al-Faqih, Yemen",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12,1990–1998,Yemen,Unknown,Unknown
Nikolai Shestakov,Nikolai Porfirievich Shestakov1954RSFSR,1977RSFSR,Unknown,"""The Luberetsky Maniac""",Unknown,Murder with aggravating circumstances,Unknown,Unknown,12,1975–1976,Soviet Union,Moscow,12 March 1976
Joseph Christopher,"Joseph Gerard Christopher(1955-07-26)July 26, 1955Buffalo, New York, U.S.","March 1, 1993(1993-03-01) (aged 37)Attica Correctional Facility, New York, U.S.",Unknown,The .22-Caliber KillerThe Midtown Slasher,Racism[1],Murder (3 counts),Unknown,Unknown,"19 (12 killed, 7 survived)",September – December 1980,United States,"New York, Georgia",January 1981
Siswanto,Siswanto1963Indonesia,"26 March 2007(2007-03-26) (aged 43–44)Nusa Kambangan, Indonesia",Unknown,Robot Gedek,Unknown,Murder,Unknown,Unknown,12,December 1994 – 1996,Indonesia,Unknown,6 August 1996
Sergey Golovkin,"Sergey Aleksandrovich Golovkin(1959-11-26)26 November 1959Moscow, Soviet Union","2 August 1996(1996-08-02) (aged 36)Butyrka Prison, Moscow, Russia",Unknown,The FisherThe BoaChikatilo's Apprentice,Unknown,Murder with aggravating circumstances,Unknown,Unknown,11,1986–1992,"Soviet Union, Russia",Moscow,19 October 1992
Tiago Henrique Gomes da Rocha,"Tiago Henrique Gomes da Rocha (1988-02-04) 4 February 1988 (age 36)Goiânia, Brazil",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"11 convicted 
39 claimed[1]",2011–2014,Brazil,Goiás,October 2014
Herb Baumeister,"Herbert Richard Baumeister(1947-04-07)April 7, 1947Indianapolis, Indiana, U.S.","July 3, 1996(1996-07-03) (aged 49)Pinery Provincial Park, Ontario, Canada",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11–24+,1980–1995,United States,Indiana and possibly Ohio,Unknown
Zhang Yongming,1956China,"January 10, 2013 (aged 56–57)Yunnan, China",Unknown,The Cannibal KillerCannibal Monster,Unknown,Intentional homicideCannibalism,Unknown,Unknown,12,1979; March 2008 – April 2012,China,Yunnan,"May 9, 2012"
Jack Unterweger,"Johann Unterweger(1950-08-16)16 August 1950Judenburg, Styria, Allied-occupied Austria","29 June 1994(1994-06-29) (aged 43)Graz-Karlau Prison, Graz, Styria, Austria",Unknown,Unknown,Unknown,Murder (10 counts),Unknown,Unknown,12–15,1974; 1990 – 1992,"Austria, West Germany, Czechoslovakia, United States",Unknown,27 February 1992
Vaughn Greenwood,"Vaughn Orrin Greenwood(1944-01-19)January 19, 1944Pennsylvania, U.S.","December 18, 2020(2020-12-18) (aged 76)California Men's Colony, San Luis Obispo, California",Unknown,Skid Row Slasher,Unknown,AssaultMurderAttempted murder,Unknown,Unknown,"11 murdered, 1 survivor",1964–1975,United States,California,"February 3, 1975"
Anthony Sowell,"Anthony Edward Sowell(1959-08-19)August 19, 1959East Cleveland, Ohio, U.S.[1]","February 8, 2021(2021-02-08) (aged 61)Franklin Medical Center, Columbus, Ohio, U.S.",Unknown,Unknown,Unknown,Sexually motivated aggravated murder (11 counts)Attempted murder (4 counts)Kidnapping (2 counts)Rape (5 counts)Attempted rape (5 counts)Abuse of a corpse (11 counts)Tampering with evidence (11 counts),Unknown,Unknown,11–14,May 2007 – September 2009,United States,Ohio,"October 31, 2009"
Henri Désiré Landru,"Henri Désiré Landru(1869-04-12)12 April 1869Paris, France","25 February 1922(1922-02-25) (aged 52)Versailles, France",Unknown,"The Bluebeard of Gambais; many pseudonyms, including ""Monsieur Diard"" and ""Dupont""",Unknown,Assassination (11 counts) (30 November 1921),Unknown,Unknown,11+,January 1915 – 15 January 1919,France,Unknown,12 April 1919
Nannie Doss,"Nancy Hazel(1905-11-04)November 4, 1905Blue Mountain, Alabama, United States","June 2, 1965(1965-06-02) (aged 59)Oklahoma State Penitentiary, McAlester, Oklahoma, United States",Unknown,The Giggling NannyThe Giggling GrannyThe Jolly Black WidowThe Lonely Hearts Killer,"Life insurance moneySearch for ""the real romance of life""",Unknown,Unknown,Unknown,11,1927–1954,United States,AlabamaNorth CarolinaKansasOklahoma,October 1954
Marie Alexandrine Becker,"Marie Alexandrine Petitjean(1879-07-14)14 July 1879Waasmont, Landen, Belgium","11 June 1942(1942-06-11) (aged 62)Forest Prison, Brussels, Nazi-occupied Belgium",Unknown,"""The Black Widow""""The Belgian Borgia""",Unknown,Murder,Unknown,Unknown,11,1933–1936,Belgium,Unknown,16 October 1936
Seisaku Nakamura,"Seisaku Nakamura1924 (1924)Shizuoka, Japan","June 19, 1943(1943-06-19) (aged 18–19)Japan",Unknown,Hamamatsu Deaf Killer,Unknown,Unknown,Unknown,Unknown,9–11,"August 22, 1938 – August 30, 1942",Japan,Shizuoka,"October 12, 1942"
Robledo Puch,"Carlos Eduardo Robledo Puch (1952-01-19) 19 January 1952 (age 72)Buenos Aires, Argentina",Unknown,Unknown,CarlitosThe AngelThe Death AngelThe Black Angel,Unknown,Aggravated murder (x11) Attempted murder (x1)  Sexual crimes (x3)  Kidnapping (x2)  Armed robbery (x17)   Theft (x2),Unknown,Unknown,11 known,1971–1972,Argentina,Unknown,4 February 1972
Clifford Olson,"Clifford Robert Olson Jr.(1940-01-01)January 1, 1940Vancouver, British Columbia, Canada","September 30, 2011(2011-09-30) (aged 71) Laval, Quebec, Canada",Unknown,The Beast of British Columbia,Unknown,Murder,Unknown,Unknown,11,1980–1981,Canada,Unknown,"August 12, 1981"
Francisco García Escalero,"Francisco García Escalero(1948-05-24)24 May 1948Madrid, Spain","19 August 2014(2014-08-19) (aged 66)Alicante, Spain",Unknown,El Matamendigos (The Beggars Killer),Unknown,Unknown,Unknown,Unknown,"11 known, possible more victims",1987–1994,Spain,Unknown,April 1994
Henry Louis Wallace,"(1965-11-04) November 4, 1965 (age 59)Barnwell, South Carolina, U.S.",Unknown,Unknown,Unknown,Unknown,First degree murder (9 counts)First degree rape (8 counts)Second degree rapeFirst degree sexual offense (2 counts)Second degree sexual offense (2 counts),Unknown,Unknown,11,"March 8, 1990 – March 8, 1994",United States,"South Carolina, North Carolina","March 12, 1994"
Benjamin Atkins,"Benjamin Thomas Atkins(1968-08-26)August 26, 1968Detroit, Michigan, U.S.","September 17, 1997(1997-09-17) (aged 29)Charles Egeler Reception and Guidance Center, Jackson, Michigan, U.S.",Unknown,The Woodward Corridor KillerThe Highland Park StranglerTony,Misogyny[1],"First degree murder (x11)
First degree criminal sexual conduct",Unknown,Unknown,11,"December 14, 1991 – August 21, 1992",United States,Michigan,"August 21, 1992"
Adnan Çolak,Adnan Çolak (1952-09-05) 5 September 1952 (age 72)Turkey,Unknown,Unknown,"""Artvin Monster""",Unknown,Unknown,Unknown,Unknown,11 elderly women,1992–1995,Turkey,District of Artvin,1995
Andre Crawford,"March 20, 1962[1]Chicago, Illinois, U.S.","March 18, 2017 (aged 54)[2]Menard Correctional Center, Chester, Illinois, U.S.",Unknown,Southside Strangler,Unknown,Murder (11 counts),Unknown,Unknown,11,1993–1999,United States,Illinois,"January 28, 2000"
Francisco de Assis Pereira,"Francisco de Assis Pereira (1967-11-29) November 29, 1967 (age 56)São Paulo, São Paulo",Unknown,Unknown,The Park ManiacChico Estrela,Unknown,MurderRapeConcealment of deathViolent indecent assault,Unknown,Unknown,11,1997–1998,Brazil,São Paulo,"August 4, 1998"
Barnaul Maniac,Unknown,Unknown,Unknown,"""The University Maniac""""The Tutor""",Unknown,Unknown,Unknown,Unknown,11,1997–2000,Russia,Altai,Unknown
Gao Chengyong,"(1964-11-10)10 November 1964Yuzhong County, Gansu, China","3 January 2019(2019-01-03) (aged 54)Baiyin, Gansu, China",Unknown,"""Chinese Jack the Ripper""",Unknown,Murder (11 counts)Sexual assaultRobberyDefiling of a corpse,Unknown,Unknown,11,1988–2002,China,"Baiyin, GansuBaotou, Inner Mongolia",26 August 2016
Yevgeny Petrov,"Yevgeny Nikolaevich Petrov (1975-12-17) 17 December 1975 (age 48)Novouralsk, Sverdlovsk Oblast, RSFSR",Unknown,Unknown,"""The Novouralsk Ripper""",Unknown,Murder,Unknown,Unknown,11,1998–2003,Russia,Sverdlovsk,8 August 2003
Ruslan Khamarov,"Ruslan Rakhimovich Khamarov1973 (age 50–51)Berdiansk, Ukrainian SSR, Soviet Union",Unknown,Unknown,Unknown,Unknown,"Murder, Robbery",Unknown,Unknown,11,2000–2003,Ukraine,Zaporizhia Oblast,1 March 2003
West Mesa Killer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11+,2001–2005,United States,New Mexico,Unapprehended
Very Idham Henyansyah,"Jombang, Indonesia",Unknown,Unknown,RyanSinging serial killerThe butcher of Jombang,Unknown,Murder,Unknown,Unknown,11,2006–2008,Indonesia,Unknown,15 July 2008
Roshu Kha,1976 or 1977,Unknown,Unknown,Unknown,Unknown,MurderRape,Unknown,Unknown,11,2007–2009,Bangladesh,Chandpur District,"October 7, 2009"
Martin Lecián,"Martin Lecián(1900-10-31)31 October 1900Ostrožské Předměstí, Austria-Hungary","6 October 1927(1927-10-06) (aged 26)Olomouc, Czechoslovakia",Unknown,Terror of MoraviaMoravian horror,Unknown,Murder,Unknown,Unknown,4,19 January – 25 September 1927,Czechoslovakia,Unknown,23 April 1927
Lonnie David Franklin Jr.,"Lonnie David Franklin Jr.(1952-08-30)August 30, 1952Los Angeles, California, U.S.","March 28, 2020(2020-03-28) (aged 67)San Quentin State Prison, San Quentin, California, U.S.",Unknown,Grim Sleeper25 Auto Killer,Unknown,First-degree murder under special circumstances (10 counts),Unknown,Unknown,10–25+ victims1 known survivor,1984–2007,United States,California,"July 7, 2010"
Rudolf Pleil,"Rudolf Pleil7 July 1924Bärenstein, Erzgebirgskreis, Germany","18 February 1958(1958-02-18) (aged 33)Celle, West Germany",Unknown,The Deathmaker,Unknown,Murder (9 counts)Manslaughter,Unknown,Unknown,10–25,1946–1947,Germany,Unknown,April 1947
Milton Johnson,"(1950-05-15) May 15, 1950 (age 74)Joliet, Illinois, United States[1]",Unknown,Unknown,The Morning murdererThe Weekend murderer,Unknown,Murder,Unknown,Unknown,10+,"June 25 – August 25, 1983",Unknown,Unknown,"March 9, 1984"
Daniel Lee Siebert,"Daniel Lee Siebert(1954-06-17)June 17, 1954Mattoon, Illinois, U.S.","April 22, 2008(2008-04-22) (aged 53)Holman Correctional Facility, Atmore, Alabama, U.S.",Unknown,The Southside Slayer,Unknown,Unknown,Unknown,Unknown,10–13,1979–1986,United States,"Alabama, California, Nevada, New Jersey",1986
Sergey Cherny,"Sergey Anatolyevich Chyorny(1977-05-11)11 May 1977Odessa, Ukrainian SSR","24 June 2001(2001-06-24) (aged 24)Sychyovka, Smolensk Oblast, Russia",Unknown,"""The Beast""""The Smolensk Strangler""""The Smolensky Chikatilo""""The Alien""""The Tape Man""",Unknown,Murder,Unknown,Unknown,10–11,19 August – 22 December 1999,Russia,Smolensk,23 December 1999
Jeanne Weber,Jeanne Weber(1874-10-07)7 October 1874France,5 July 1918(1918-07-05) (aged 43),Unknown,The Ogress,Unknown,Murder,Unknown,Unknown,10,2 March 1905 – 8 May 1908,France,Unknown,8 May 1908
Nikolai Dzhumagaliev,"Nikolai Espolovich Dzhumagaliev (1952-11-15) 15 November 1952 (age 72)Uzynagash, Kazakh SSR, Soviet Union",Unknown,Unknown,"Metal Fang, Kolya the Maneater, the Almaty Cannibal, Dzhuma, the Satan.",Unknown,Not guilty by reason of insanity,Unknown,Unknown,10+,1979–1990,Soviet Union,"Almaty, Aktobe",19 December 1980 (first time)1991 (second time)
Bobby Joe Long,"Bobby Joe Long[1](1953-10-14)October 14, 1953Kenova, West Virginia, U.S.","May 23, 2019(2019-05-23) (aged 65)Florida State Prison, Raiford, Florida, U.S.",Unknown,The Classified Ad RapistThe Adman Rapist,Unknown,"First degree murder
Armed burglary
Aggravated assault
Kidnapping
Robbery
Sexual battery
(September 24, 1985)

Sexual battery",Unknown,Unknown,10+,"March 27 – November 11, 1984",United States,Florida,"November 16, 1984"
Stewart Wilken,"Stewart Wilken (1966-11-11) 11 November 1966 (age 58)Boksburg, Gauteng, South Africa",Unknown,Unknown,Boetie Boer,Unknown,Unknown,Unknown,Unknown,10+,1990–1997,South Africa,Unknown,1997
Viktor Fokin,"Viktor Viktorovich Fokin(1935-02-19)19 February 1935Orsk, Novosibirsk Oblast, RSFSR","2003Angarsk Colony, Angarsk, Irkutsk Oblast, Russia",Unknown,"""The Pensioner Maniac""""The Grandfather Ripper""",Unknown,Murder,Unknown,Unknown,10+,1996–2000,Russia,Novosibirsk,March 2000
David Randitsheni,David Randitsheni1964/5South Africa,2009,Unknown,Modimolle Serial Killer,Unknown,10 counts of murder17 counts of rape18 counts of kidnapping1 count of indecent assault,Unknown,Unknown,10,2004–2008,South Africa,Limpopo,Unknown
Edmund Kemper,"Edmund Emil Kemper III (1948-12-18) December 18, 1948 (age 75)Burbank, California, U.S.",Unknown,Unknown,Co-ed KillerCo-ed ButcherOgre of Aptos The Mad TitanBig Ed,paraphiliapossession[1]necrophilia,First-degree murder (×8),Unknown,Unknown,10,"August 27, 1964 – April 21, 1973",United States,California,"August 27, 1964 (first arrest)April 24, 1973 (second arrest)"
Dennis Rader,"Dennis Lynn Rader (1945-03-09) March 9, 1945 (age 79)Pittsburg, Kansas, U.S.",Unknown,Unknown,BTKBTK KillerBTK Strangler,Sexual sadism,First degree murder – 10 counts[1],Unknown,Unknown,10–12+,"January 15, 1974  –  January 19, 1991",United States,Kansas,"February 25, 2005"
Stanislav Rogolev,"Stanislav Ivanovich Rogolev(1941-02-14)14 February 1941Ogre District, Latvian SSR","19 June 1984(1984-06-19) (aged 43)Leningrad, RSFSR, Soviet Union",Unknown,"""Agent 000""""Latvian Agent 007""",Unknown,Murder,Unknown,Unknown,10,1980–1982,Soviet Union,Unknown,Unknown
Oleg Kuznetsov,"Oleg Vladimirovich Kuznetsov(1969-04-30)30 April 1969Balashikha, Moscow Oblast, RSFSR","4 August 2000(2000-08-04) (aged 31)Mordovian Zone, Sosnovka, Mordovia, Russia",Unknown,"""The Balashikha Ripper""""False Dmitry""Dmitry Fadeev",Unknown,MurderRape,Unknown,Unknown,10,1991–1992,"Soviet Union, laterRussia and Ukraine","Moscow, Kyiv",26 March 1992
Satish,"Satish Kumarc. 1973Ghaziabad, Uttar Pradesh, India",Unknown,Unknown,"""The Bahadurgarh baby killer""",Unknown,MurderRape,Unknown,Unknown,Unknown,1995–1998,India,Haryana,20 November 1998
Eduard Shemyakov,"Eduard Vasilyevich Shemyakov (1975-09-30) September 30, 1975 (age 49)Ignatpol, Zhytomyr Oblast, UkSSR",Unknown,Unknown,"""The Resort Maniac""""Bloody Eddie""",Unknown,Murder,Unknown,Unknown,10,1996–1998,Russia,St. Petersburg,1998
Ali Kaya,"1978 (age 45–46)Gaziantep, Turkey",Unknown,Unknown,The Babyface Killer,Unknown,Unknown,Unknown,Unknown,10,1997–,Turkey,Unknown,Unknown
Chen Yongfeng,"1983Qingtian County, Zhejiang","April 7, 2004(2004-04-07) (aged 20–21)",Unknown,"""The Butcher""",Unknown,Unknown,Unknown,Unknown,10,February – May 2003,China,Wenzhou,"May 24, 2003"
Zhou Kehua,"(1970-02-06)6 February 1970Jingkou Town, Shapingba District, Chongqing, China","14 August 2012(2012-08-14) (aged 42)Chongqing, China",Unknown,Baotouge (Chinese: 爆头哥; lit. 'Mr. Headshot'  or 'Brother Headshot'),Unknown,Unknown,Unknown,Unknown,Unknown,2004–2012,Unknown,Unknown,"1993, 1997[1] and 2005[2] (on charges of arms trafficking and illegal possession of firearms)"
Kang Ho-sun,"(1969-10-10) October 10, 1969 (age 55)Seocheon, South Korea",Unknown,Unknown,Unknown,Lust murder,Murder (10 counts)RapeArson,Unknown,Unknown,10,2005–2008,Unknown,Unknown,"January 27, 2009"
Masten Wanjala,"2001 (2001)Bungoma, Kenya","15 October 2021 (aged 20)Bungoma, Kenya",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10,2015–2021,Kenya,Nairobi,Unknown
Louis van Schoor,Sybrand Jacobus Lodewikus van Schoor1951 (1951)South Africa,"25 July 2024 (aged 72)East London, South Africa",Unknown,"""The Apartheid Killer""",Unknown,Murder,Unknown,Unknown,9–39,1986–1989,South Africa,Unknown,Unknown
Peter Kürten,"26 May 1883Mülheim am Rhein, German Empire","2 July 1931(1931-07-02) (aged 48)Klingelputz Prison, Cologne, Weimar Republic",Unknown,The Vampire of DüsseldorfThe Düsseldorf Monster,Sadistic sexual gratification[1]Vengeance against society[2],Murder (9 counts)Attempted murder (7 counts)ArsonAttempted robberyBreaking and enteringBurglarySeductionTheftThreatening behaviour,Unknown,Unknown,Murders: 9+Attempted murder: 31+[3],25 May 1913 – 7 November 1929,German Empire,"Rhine Province, Prussia",24 May 1930
Roger Dale Stafford,"November 4, 1951Sheffield, Alabama, U.S.","July 1, 1995(1995-07-01) (aged 43)Oklahoma State Penitentiary, Oklahoma, U.S.",Unknown,Unknown,Unknown,First degree murder (9 counts),Unknown,Unknown,9–34,1974–1978,United States,"Oklahoma, Alabama, possibly others",Unknown
Norman Afzal Simons,"Cape Town, South Africa",Unknown,Unknown,Station Strangler,Unknown,Unknown,Unknown,Unknown,Unknown; 1 conviction,1986–1994,South Africa,Western Cape,1994
Francis Heaulme,"Francis Heaulme (1959-02-25) 25 February 1959 (age 65)Metz, France",Unknown,Unknown,The Criminal Backpacker,Unknown,Murder,Unknown,Unknown,9+,Unknown,Unknown,Unknown,Unknown
Joel Rifkin,"Joel David Rifkin (1959-01-20) January 20, 1959 (age 65)New York City, New York, U.S.",Unknown,Unknown,Joel the Ripper,Unknown,Unknown,Unknown,Unknown,9–17,1989–1993,United States,New York,"June 28, 1993"
Dagmar Overbye,Dagmar Johanne Amalie Overby(1887-04-23)23 April 1887Denmark,"6 May 1929(1929-05-06) (aged 42)Denmark, Copenhagen",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,9–25,1913–1920,Denmark,Unknown,Unknown
Kenneth McDuff,"Kenneth Allen McDuffMarch 21, 1946Rosebud, Falls County, Texas","November 17, 1998 (aged 52)Huntsville Unit, Huntsville, Texas, U.S.",Unknown,The Broomstick MurdererThe Broomstick Killer,Unknown,Murder with malice (1968)Capital murder (1993),Unknown,Unknown,9–14+,"August 6, 1966 – March 1, 1992",United States,Texas,"For the final time on May 4, 1992"
Robert Joseph Silveria Jr.,"Robert Joseph Silveria Jr. (1959-03-03) March 3, 1959 (age 65)Redwood City, California, U.S.",Unknown,Unknown,The Boxcar KillerSidetrack,Unknown,Unknown,Unknown,Unknown,9–30+,1981–1996,United States,"California, Oregon, Utah, Arizona, Kansas, Washington, Florida","March 2, 1996"
Dr. No,Unknown,Unknown,Unknown,"""Ohio Prostitute Killer""""I-71 Killer""",Unknown,Unknown,Unknown,Unknown,9+,1981–1990,United States,"Ohio, Illinois, New York, Pennsylvania",Unknown
Richard Biegenwald,"August 24, 1940Staten Island, New York, U.S.","March 10, 2008(2008-03-10) (aged 67)New Jersey State Prison, Trenton, New Jersey, U.S.",Unknown,The Thrill Killer,Unknown,First degree murderMurder (5 counts),Unknown,Unknown,"6 convicted, suspected of 8 total","December 18, 1958 – January 4, 1983",United States,New Jersey,"January 22, 1983"
New Bedford Highway Killer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11,March 1988 – April 1989,United States,"New Bedford, Massachusetts",Unapprehended
Alexander Bychkov,"Alexander Vladimirovich Bychkov (1988-04-01) 1 April 1988 (age 36)RSFSR, Soviet Union",Unknown,Unknown,Belinsky Cannibal;Rambo,Unknown,"Murder, burglary, cannibalism",Unknown,Unknown,9–11,2009–2012,Russia,Penza Oblast,January 2012
Edgecombe County Serial Killer,Unknown,Unknown,Unknown,"""The Seven Bridges Killer""",Unknown,Murder x1 (Pittman),Unknown,Unknown,10–11,2005–2009,United States,North Carolina,Never apprehended
Sergei Martynov,"Sergei Kashfulgayanovich Martynov (1962-06-02) 2 June 1962 (age 62)Nyazepetrovsk, Chelyabinsk Oblast, Soviet Union",Unknown,Unknown,Unknown,Unknown,Murder x9Rape,Unknown,Unknown,9+,1992–2010,Russia,"Abakan, Kemerovo, Glazov, Vladimir, Ufa, Oryol Oblast, Voronezh Oblast, Novgorod Oblast, Nizhny Novgorod Oblast",18 November 2010
Lloyd Gomez,"(1923-12-06)December 6, 1923Caliente, Nevada, U.S.","October 16, 1953(1953-10-16) (aged 29)San Quentin State Prison, San Quentin, California, U.S.",Unknown,"Harry Jenks""The Phantom Hobo Killer""""The Hobo Jungle Killer""",Unknown,First degree murder,Unknown,Unknown,9,1950–1951,United States,California,"January 15, 1952"
Timothy Krajcir,"Timothy Wayne McBride (1944-11-28) November 28, 1944 (age 79)West Mahanoy Township, Pennsylvania, U.S.",Unknown,Unknown,Unknown,Unknown,"Murder, rape",Unknown,Unknown,9,1977–1982,Unknown,MissouriIllinoisPennsylvaniaKentucky,29 August 2007
Anatoly Utkin,"Anatoly Viktorovich Utkin1943Ulyanovsk, Ulyanovsk Oblast, RSFSR",12 September 1975RSFSR,Unknown,"""The Ulyanovsky Maniac""",Unknown,Attempted murder MurderRobbery,Unknown,Unknown,9,1968–1973,Soviet Union,Ulyanovsk,9 February 1973
Gilberto Chamba,"Gilberto Antonio Chamba Jaramillo1963 (age 60–61)Machala, El Oro Province, Ecuador",Unknown,Unknown,The Monster of Machala,Unknown,Murder,Unknown,Unknown,9,1988–2004,"Ecuador, Spain","El Oro, Catalonia","Module 6, Center Penitenciari de Quatre Camins"
Ondrej Rigo,"Ondrej Rigo(1955-12-17)17 December 1955Modra, Czechoslovakia","14 June 2022(2022-06-14) (aged 66)Trenčín, Slovakia",Unknown,The International killerThe Sock killer,Unknown,Murder (9 counts),Unknown,Unknown,"9 killed, 1 wounded",7 June 1990 – 4 March 1992,"Czechoslovakia, West Germany, Netherlands",Unknown,March 1992; 32 years ago (March 1992)
Alfred Gaynor,"Alfred J. Gaynor (1966-12-10) December 10, 1966 (age 57)Springfield, Massachusetts, U.S.",Unknown,Unknown,Unknown,Unknown,Murder,Unknown,Unknown,9,1995–1998,United States,Massachusetts,"April 10, 1998"
Mark Goudeau,"(1964-09-06) September 6, 1964 (age 60)Phoenix, Arizona, U.S.",Unknown,Unknown,The Baseline KillerThe Baseline Rapist,Unknown,First degree murder (9 counts)Attempted first degree murderKidnapping (13 counts)Attempted kidnappingSexual assault (23 counts)Attempted sexual assault (7 counts)Sexual abuse (6 counts)Aggravated assault (14 counts)Armed robbery (12 counts)Attempted armed robbery (2 counts)First degree burglary,Unknown,Unknown,9,2005–2006,United States,Arizona,"September 4, 2006"
Keith Hunter Jesperson,"(1955-04-06) 6 April 1955 (age 69)Chilliwack, British Columbia, Canada",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8 confirmed (confessed to as many as 160),21 January 1990 – 16 March 1995,"U.S., Canada","California, Florida, Nebraska, Oregon, Washington, Wyoming",30 March 1995
Rodney Alcala,"Rodrigo Jacques Alcala(1943-08-23)August 23, 1943San Antonio, Texas, U.S.","July 10, 2021(2021-07-10) (aged 77)Corcoran, California, U.S.",Unknown,Dating Game KillerJohn Berger,Unknown,"Battery, kidnapping, murder, probation violation, rape, providing cannabis to a minor",Unknown,Unknown,8 confirmed130+ possible,1968–1979,United States,WashingtonCaliforniaNew YorkWyoming,"July 24, 1979[1]"
Ottis Toole,"Ottis Elwood Toole(1947-03-05)March 5, 1947Jacksonville, Florida, U.S.","September 15, 1996(1996-09-15) (aged 49)Raiford, Florida, U.S.",Unknown,Unknown,Unknown,"First-degree murder (6 counts)
Arson",Unknown,Unknown,Unknown,1961–1983,United States,"Michigan, Florida and Texas","June 15, 1983"
Kiyotaka Katsuta,"(1948-08-29)August 29, 1948Kizugawa, Kyoto, Occupied Japan","November 30, 2000(2000-11-30) (aged 52)Nagoya Detention House, Higashi-ku, Nagoya, Japan",Unknown,Kiyotaka Fujiwara,Unknown,Murder (8 counts),Unknown,Unknown,8–22,1972–1982,Japan,"Kyoto, Osaka, Aichi, Hyogo, Shiga","January 31, 1983"
Joseph Paul Franklin,"James Clayton Vaughn Jr.(1950-04-13)April 13, 1950Mobile, Alabama, U.S.","November 20, 2013(2013-11-20) (aged 63)Eastern Reception, Diagnostic and Correctional Center, Bonne Terre, Missouri, U.S.",Unknown,The Racist Killer,Desire to incite a race war,Unknown,Unknown,Unknown,8 convicted  22 total suspected  6+ wounded[1],"August 7, 1977  –  August 20, 1980",United States,"Missouri, Wisconsin, Tennessee, Georgia, Virginia, Indiana, Ohio, Oklahoma, Pennsylvania, West Virginia, Utah","October 28, 1980"
Pierre Chanal,"(1946-11-18)18 November 1946Saint-Étienne, France","15 October 2003(2003-10-15) (aged 56)Reims, France",Unknown,Unknown,Unknown,Kidnapping and rape,Unknown,Unknown,8–17,1980–1988,France,Champagne-Ardenne,9 August 1988
Christopher Wilder,"(1945-03-13)March 13, 1945Sydney, New South Wales, Australia","April 13, 1984(1984-04-13) (aged 39)Colebrook, New Hampshire, U.S.",Unknown,The Beauty Queen KillerThe Snapshot Killer,Unknown,Unknown,Unknown,Unknown,8+,"February 26 – April 13, 1984",AustraliaUnited States,Unknown,"April 13, 1984 (killed)"
Axeman of New Orleans,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"6 dead, 6 injured","May 23, 1918 – October 27, 1919",United States,Louisiana,Unknown
Vladimir Retunsky,"Vladimir Nikolaevich Retunsky (1950-02-04) February 4, 1950 (age 74)Povorino, Voronezh Oblast, RSFSR",Unknown,Unknown,"""The Povorino Maniac""""The Chikatilo of Khopyor River""""The Voronezh Chikatilo""",Unknown,Murder,Unknown,Unknown,8–12,1990–1996,"Soviet Union, later Russia",Voronezh,February 1997
Gilbert Paul Jordan,"Gilbert Paul ElsieDecember 12, 1931Vancouver, British Columbia, Canada","July 7, 2006(2006-07-07) (aged 74)Victoria, British Columbia, Canada",Unknown,"The Boozing Barber
Paul Pearce
Gilbert Paul Elsie",Unknown,Manslaughter,Unknown,Unknown,1 (Convicted; linked to 8–10 more),1965–c. 2004,Canada,Unknown,Unknown
